Transaction_ID,Date,Month,Quarter,Fund_Name,Transaction_Type,Amount_USD,Status,Account_Tier,Region,Processing_Days,Anomaly_Flag,Anomaly_Reason
TXN-00001,2024-11-23,November,Q4,Vanguard 500 Index,Buy,14384.02,Pending,Retail,Southeast,0,No,
TXN-00002,2024-02-22,February,Q1,PIMCO Total Return,Buy,9822.68,Flagged,Retail,Northeast,2,Yes,Unusual frequency
TXN-00003,2024-10-14,October,Q4,Fidelity Growth Fund,Transfer Out,59131.94,Flagged,Retail,West,3,Yes,Amount exceeds threshold
TXN-00004,2024-12-23,December,Q4,T. Rowe Price Equity,Dividend,95742.7,Pending,Retail,Southeast,0,No,
TXN-00005,2024-06-21,June,Q2,Vanguard 500 Index,Buy,84825.69,Flagged,Retail,Midwest,2,Yes,Off-hours activity
TXN-00006,2024-08-23,August,Q3,PIMCO Total Return,Buy,29671.24,Flagged,Retail,Southwest,3,Yes,Off-hours activity
TXN-00007,2024-12-26,December,Q4,Vanguard 500 Index,Buy,4291056.83,Completed,Institutional,Northeast,1,No,
TXN-00008,2024-02-21,February,Q1,T. Rowe Price Equity,Dividend,1913886.74,Cancelled,Institutional,Southeast,3,No,
TXN-00009,2024-12-09,December,Q4,BlackRock Bond Fund,Transfer Out,1091572.76,Completed,High Net Worth,Southeast,1,No,
TXN-00010,2024-05-05,May,Q2,Fidelity Growth Fund,Fee,1176114.35,Flagged,Institutional,Southwest,2,Yes,Off-hours activity
TXN-00011,2024-04-27,April,Q2,Vanguard 500 Index,Dividend,1133815.93,Flagged,Institutional,Northeast,3,Yes,Off-hours activity
TXN-00012,2024-12-01,December,Q4,T. Rowe Price Equity,Fee,14393.22,Cancelled,Retail,Midwest,4,No,
TXN-00013,2024-10-26,October,Q4,T. Rowe Price Equity,Transfer In,4986896.31,Flagged,Institutional,Southeast,5,Yes,Unusual frequency
TXN-00014,2024-02-16,February,Q1,Vanguard 500 Index,Buy,59842.7,Completed,Retail,West,1,No,
TXN-00015,2024-07-16,July,Q3,T. Rowe Price Equity,Transfer In,1943602.84,Cancelled,High Net Worth,Midwest,2,No,
TXN-00016,2024-12-14,December,Q4,Vanguard 500 Index,Transfer Out,1538150.63,Pending,Institutional,Northeast,0,No,
TXN-00017,2024-03-21,March,Q1,T. Rowe Price Equity,Buy,1039979.27,Pending,High Net Worth,Southeast,0,No,
TXN-00018,2024-02-24,February,Q1,BlackRock Bond Fund,Transfer Out,76369.82,Completed,Retail,Midwest,1,No,
TXN-00019,2024-10-03,October,Q4,PIMCO Total Return,Buy,648151.85,Flagged,Institutional,Northeast,4,Yes,Off-hours activity
TXN-00020,2024-05-02,May,Q2,Vanguard 500 Index,Sell,81694.31,Completed,Retail,West,1,No,
TXN-00021,2024-09-29,September,Q3,Fidelity Growth Fund,Sell,566860.43,Cancelled,High Net Worth,Southeast,5,No,
TXN-00022,2024-04-18,April,Q2,PIMCO Total Return,Transfer Out,4976231.85,Completed,Institutional,West,1,No,
TXN-00023,2024-11-28,November,Q4,BlackRock Bond Fund,Fee,22857.39,Cancelled,Retail,Southeast,4,No,
TXN-00024,2024-01-11,January,Q1,PIMCO Total Return,Transfer In,64022.14,Completed,High Net Worth,Southeast,1,No,
TXN-00025,2024-12-28,December,Q4,Vanguard 500 Index,Sell,7550.31,Completed,Retail,Midwest,1,No,
TXN-00026,2024-05-01,May,Q2,BlackRock Bond Fund,Transfer Out,13665.03,Cancelled,Retail,Southwest,5,No,
TXN-00027,2024-05-04,May,Q2,T. Rowe Price Equity,Fee,66068.78,Completed,Retail,Northeast,1,No,
TXN-00028,2024-06-30,June,Q2,T. Rowe Price Equity,Fee,6530.96,Cancelled,Retail,Northeast,4,No,
TXN-00029,2024-02-25,February,Q1,Fidelity Growth Fund,Sell,323355.48,Completed,High Net Worth,West,1,No,
TXN-00030,2024-04-03,April,Q2,BlackRock Bond Fund,Fee,80898.21,Completed,Retail,West,1,No,
TXN-00031,2024-10-08,October,Q4,Vanguard 500 Index,Buy,17047.96,Completed,Retail,Southeast,1,No,
TXN-00032,2024-09-05,September,Q3,T. Rowe Price Equity,Sell,38207.83,Flagged,Retail,Southeast,4,Yes,Mismatched account tier
TXN-00033,2024-08-20,August,Q3,BlackRock Bond Fund,Fee,30022.43,Cancelled,Retail,Southeast,2,No,
TXN-00034,2024-10-23,October,Q4,PIMCO Total Return,Buy,58625.67,Flagged,Retail,Northeast,2,Yes,Unusual frequency
